price,neighborhood,latitude,longitude,room_type,bathrooms,bedrooms,beds
65,Hyde Park,41.7879,-87.5878,Private room,1,1,1
105,South Lawndale,41.85495,-87.69696,Entire home/apt,1,3,5
60,West Town,41.90289,-87.68182,Entire home/apt,1,3,4
66,Lincoln Park,41.91769,-87.63788,Entire home/apt,1,1,2
22,Hyde Park,41.79612,-87.59261,Private room,1,1,1
115,Lincoln Park,41.91183,-87.64,Entire home/apt,1,2,2
289,Lincoln Park,41.92335,-87.64951,Private room,1,1,2
99,West Town,41.89617,-87.66041,Entire home/apt,2,2,2
113,Lincoln Park,41.92679,-87.65521,Entire home/apt,1,1,1
94,Lincoln Park,41.92693,-87.65753,Entire home/apt,1,2,0
97,Logan Square,41.92083,-87.6801,Entire home/apt,2,3,3
77,Uptown,41.9729,-87.66538,Private room,1.5,1,1
75,Near North Side,41.89377,-87.63465,Private room,1,1,1
65,West Town,41.89615,-87.67934,Private room,1,1,1
180,Uptown,41.96792,-87.65757,Private room,1.5,2,8
58,West Town,41.89615,-87.67934,Private room,1,1,1
99,Uptown,41.9693,-87.65621,Private room,1,1,1
35,Uptown,41.96852,-87.65225,Private room,1,1,1
198,North Center,41.94342,-87.68121,Entire home/apt,2,3,3
275,Lincoln Park,41.91289,-87.63864,Entire home/apt,2,4,4
198,Lake View,41.94274,-87.67321,Entire home/apt,1,2,2
125,North Center,41.94274,-87.67378,Entire home/apt,1,1,1
280,Lake View,41.94221,-87.67327,Entire home/apt,2,3,3
59,Albany Park,41.96125,-87.72194,Entire home/apt,1,1,1
159,Logan Square,41.92918,-87.70219,Entire home/apt,1,2,3
30,North Center,41.95935,-87.67963,Private room,1,1,1
90,Pullman,41.6883,-87.60892,Entire home/apt,1,1,1
39,Pullman,41.68909,-87.6088,Entire home/apt,1,1,1
79,Logan Square,41.92543,-87.69593,Private room,1,1,1
125,Uptown,41.96331,-87.66088,Private room,1,1,1
55,Irving Park,41.95602,-87.72781,Private room,1,1,1
90,Uptown,41.96797,-87.65791,Private room,1.5,1,1
170,Near South Side,41.86051,-87.62399,Entire home/apt,1,1,1
48,West Ridge,42.00692,-87.68438,Entire home/apt,1,1,1
119,Near North Side,41.90314,-87.63494,Entire home/apt,1,1,1
204,Near West Side,41.88467,-87.64487,Entire home/apt,1.5,2,2
875,Uptown,41.96924,-87.65807,Entire home/apt,2.5,5,19
103,Logan Square,41.92716,-87.70471,Private room,1,1,1
156,Near West Side,41.88623,-87.6404,Entire home/apt,2,3,3
26,Edgewater,41.97794,-87.65764,Private room,1,1,1
145,Logan Square,41.92063,-87.68353,Private room,2,1,1
130,Bridgeport,41.82702,-87.63967,Entire home/apt,1.5,3,3
47,Woodlawn,41.78216,-87.59027,Private room,,1,1
146,Bridgeport,41.82741,-87.63934,Entire home/apt,1.5,2,3
85,Kenwood,41.8077,-87.59436,Private room,1,1,1
132,Lake View,41.93986,-87.65473,Entire home/apt,2,2,2
172,West Town,41.89862,-87.65597,Entire home/apt,3,3,5
105,West Town,41.88913,-87.66763,Entire home/apt,1,2,3
119,Near South Side,41.86614,-87.62275,Private room,1,1,1
67,Logan Square,41.92451,-87.69385,Entire home/apt,1,1,2
232,Uptown,41.97053,-87.67267,Entire home/apt,1.5,3,3
86,Rogers Park,42.00435,-87.67501,Private room,1,1,1
98,Lincoln Square,41.96714,-87.69611,Entire home/apt,1,1,1
130,Lake View,41.94286,-87.63919,Private room,0,2,2
132,Logan Square,41.93142,-87.69989,Entire home/apt,1,2,3
495,Near South Side,41.85467,-87.61417,Entire home/apt,1,2,0
89,Grand Boulevard,41.82293,-87.61559,Entire home/apt,1,1,0
490,Lake View,41.94284,-87.63919,Entire home/apt,2,2,2
75,Lincoln Square,41.96364,-87.68382,Private room,1,1,2
57,West Town,41.88961,-87.66268,Private room,2,1,3
78,West Town,41.89003,-87.66241,Private room,2,1,2
69,West Town,41.89054,-87.66261,Shared room,2,1,3
43,North Center,41.93537,-87.67946,Private room,1,1,1
40,West Town,41.89056,-87.66086,Private room,2,1,1
66,Edgewater,41.99667,-87.66213,Private room,1,1,1
175,Lake View,41.94432,-87.67128,Entire home/apt,2.5,2,2
138,West Town,41.90567,-87.67311,Hotel room,1,1,2
142,West Town,41.90686,-87.67319,Private room,1,3,4
55,Forest Glen,41.99244,-87.75569,Private room,1,1,1
50,Forest Glen,41.99201,-87.75719,Private room,1,1,1
50,West Ridge,41.99348,-87.68121,Private room,1,1,1
85,West Town,41.9025,-87.66704,Private room,1,1,1
85,Near North Side,41.90445,-87.63336,Entire home/apt,1,2,2
39,West Town,41.88999,-87.66096,Private room,2,1,0
99,Lake View,41.93932,-87.65218,Entire home/apt,1,1,1
70,Logan Square,41.92255,-87.70293,Private room,1,2,1
165,Logan Square,41.92669,-87.699,Entire home/apt,1,3,4
81,Lincoln Square,41.97847,-87.68087,Entire home/apt,1,2,2
130,Loop,41.88624,-87.61566,Entire home/apt,1,1,1
65,Logan Square,41.92997,-87.72061,Entire home/apt,1,3,6
150,Near West Side,41.88676,-87.64935,Entire home/apt,1,1,1
78,North Center,41.94994,-87.682,Private room,2,1,2
99,Uptown,41.96193,-87.66238,Private room,1,1,1
299,Uptown,41.96046,-87.66346,Entire home/apt,2,3,3
111,West Ridge,42.01653,-87.68788,Shared room,2,1,1
204,Logan Square,41.92285,-87.68323,Entire home/apt,2,1,1
95,West Town,41.90435,-87.67518,Entire home/apt,1,1,3
239,Lake View,41.9443,-87.64661,Entire home/apt,2,2,2
85,Lincoln Park,41.9217,-87.65959,Private room,2.5,3,1
105,Lincoln Park,41.9263,-87.65567,Entire home/apt,1,2,1
110,Logan Square,41.92649,-87.7138,Private room,1,1,1
232,Humboldt Park,41.91105,-87.70927,Entire home/apt,2.5,3,3
115,Lincoln Park,41.91316,-87.63813,Entire home/apt,1,1,1
101,East Garfield Park,41.88449,-87.69659,Private room,1.5,1,1
50,West Town,41.90677,-87.66788,Private room,1,1,0
153,West Town,41.89505,-87.65449,Entire home/apt,2,3,3
79,Rogers Park,42.00498,-87.66712,Private room,1.5,1,1
69,Rogers Park,42.00623,-87.66794,Private room,1.5,1,1
69,Rogers Park,42.00426,-87.66693,Private room,1.5,1,2
169,Rogers Park,42.00381,-87.67082,Entire home/apt,1,2,3
85,Near North Side,41.8943,-87.62609,Entire home/apt,1,1,1
45,South Lawndale,41.85278,-87.70853,Private room,1,1,0
45,North Lawndale,41.85423,-87.70784,Private room,2,3,4
45,South Lawndale,41.85308,-87.70718,Private room,1.5,3,1
79,Lake View,41.94376,-87.65164,Private room,1,1,1
114,Lake View,41.93396,-87.64108,Entire home/apt,2.5,2,2
21,Near South Side,41.85278,-87.62453,Entire home/apt,1,1,2
49,Uptown,41.97271,-87.65236,Entire home/apt,1,1,1
43,Rogers Park,42.01761,-87.67987,Private room,1,1,1
99,Lincoln Park,41.92628,-87.64026,Entire home/apt,1,1,1
97,Lake View,41.9395,-87.64483,Entire home/apt,1,1,1
80,Near West Side,41.87086,-87.68305,Entire home/apt,1,3,4
141,West Town,41.91095,-87.67783,Entire home/apt,1,2,2
70,Lake View,41.93804,-87.64134,Private room,1,1,1
130,Lincoln Square,41.97009,-87.67423,Entire home/apt,2,3,4
225,West Town,41.90439,-87.68212,Entire home/apt,3,4,3
103,Near West Side,41.8719,-87.68486,Private room,1,1,1
474,Lincoln Park,41.92913,-87.66921,Entire home/apt,3.5,4,10
110,Lincoln Park,41.91355,-87.63675,Private room,1,1,1
85,Logan Square,41.92083,-87.68896,Private room,1,1,1
70,Lake View,41.9459,-87.65461,Hotel room,11,1,1
61,Irving Park,41.95564,-87.71154,Private room,1,1,1
168,Uptown,41.96952,-87.67239,Entire home/apt,2,3,8
43,West Town,41.91037,-87.68721,Private room,1,1,0
315,Lincoln Park,41.92989,-87.64103,Entire home/apt,1.5,2,2
19,West Ridge,42.01653,-87.68788,Shared room,2,1,1
55,Grand Boulevard,41.81266,-87.61586,Private room,1,1,1
19,West Ridge,42.01653,-87.68788,Shared room,2,1,1
105,Lincoln Park,41.91307,-87.64012,Entire home/apt,1,2,2
401,Lincoln Park,41.91406,-87.63934,Entire home/apt,2,4,4
60,Loop,41.88642,-87.61695,Entire home/apt,,1,1
55,Oakland,41.82936,-87.6048,Private room,1,1,1
49,Beverly,41.71348,-87.67195,Private room,1.5,1,1
89,Lower West Side,41.85763,-87.66236,Private room,1,1,2
212,Near North Side,41.90607,-87.6488,Entire home/apt,3,3,9
328,Near North Side,41.90697,-87.62941,Entire home/apt,5,5,9
149,Logan Square,41.91638,-87.68422,Entire home/apt,1,,2
96,Rogers Park,42.01114,-87.67634,Entire home/apt,1,1,5
64,Lake View,41.93455,-87.66141,Private room,1,1,2
149,Lower West Side,41.859,-87.6462,Entire home/apt,1,2,2
70,Uptown,41.97282,-87.67257,Private room,1,1,1
32,Chatham,41.72836,-87.6136,Private room,1,2,2
55,Mckinley Park,41.82516,-87.67456,Entire home/apt,1,2,2
85,West Town,41.89322,-87.68572,Entire home/apt,1,1,2
88,West Town,41.89665,-87.69719,Entire home/apt,1,2,2
95,Edgewater,41.99772,-87.67329,Entire home/apt,1,2,3
71,West Town,41.89003,-87.66254,Private room,2,1,1
153,Near North Side,41.89232,-87.62369,Entire home/apt,,1,1
69,Hyde Park,41.79984,-87.59465,Entire home/apt,1,1,1
155,Lake View,41.94036,-87.64068,Entire home/apt,2,2,2
70,Lower West Side,41.84801,-87.68127,Private room,1.5,1,1
